name,store,price,evaluate_num
vivo Y85 全面屏 美颜拍照 移动联通电信4G 双卡双待 黑金 4GB+64GB,vivo官方旗舰店,￥1798.00,1.1万+条评价
天语（K-TOUCH）T3 直板按键 三防老人 超长待机 双卡双待老人机 移动联通2G 黑色,天语手机京东自营官方旗舰店,￥148.00,4.4万+条评价
三星 Galaxy Note8（SM-N9500）6GB+128GB 谜夜黑 移动联通电信4G 双卡双待,三星手机京东自营官方旗舰店,￥7388.00,2万+条评价
海尔（Haier） L8 高清双摄 5.99英寸全面屏 4GB+64GB 全网通4G双卡双待 尊爵黑,海尔手机旗舰店,￥1499.00,0条评价
华为（HUAWEI） 荣耀7C 畅玩7C 极光蓝 全网通（3G+32G）,新松联手机旗舰店,￥899.00,7900+条评价
Meitu 美图M8s（MP1709）4GB+64GB 芭比粉 自拍美颜 全网通 移动联通电信4G,美图京东自营官方旗舰店,￥2599.00,1.4万+条评价
HAIYU H6（6800毫安）电信三防老人机天翼2G电霸老人 黑金,豪泰手机专营店,￥128.00,2.7万+条评价
诺基亚（NOKIA）3310 深蓝色 直板按键 移动联通2G 双卡双待 时尚 经典复刻 学生备用功能机,诺基亚手机京东自营旗舰店,￥369.00,4.9万+条评价
飞利浦（PHILIPS） E151Y 电信直板老人 超长待机老年 学生备用功能机 陨石黑,智加手机专营店,￥198.00,6700+条评价
飞利浦（PHILIPS）E133X 陨石黑 电信CDMA 老人 直板按键 超长待机 学生功能备用机,,￥238.00,1.5万+条评价
守护宝（上海中兴）L660 红色 双屏翻盖 大屏大字 超长待机 移动联通2G 双卡双待 老人 学生备用功能机,上海中兴守护宝京东自营旗舰店,￥199.00,6.2万+条评价
天语（K-TOUCH） 8848  Note5全面屏移动联通电信全网通4G智能指纹人脸解锁一体机 曜石黑 2GB+16GB,亿源数码手机专营店,￥599.00,1000+条评价
夏普 SHARP AQUOS S2 全面屏 全网通 4GB+64GB 伯爵蓝 移动联通电信4G 双卡双待,夏普手机京东自营官方旗舰店,￥1299.00,5.4万+条评价
华为（HUAWEI） 荣耀6 畅玩 6 全网通4G 老人机 金色 （2GB+16GB）标准,江苏中博手机专营店,￥556.00,1.5万+条评价
Apple 苹果 iPhone6移动联通电信4G 金色 官方标配 32G,旭永手机专营店,￥1899.00,2万+条评价
努比亚nubia Z17miniS 小牛8 深海蓝 6GB+64GB 全网通 移动联通电信4G 双卡双待,努比亚京东自营官方旗舰店,￥1499.00,3.5万+条评价
华为（HUAWEI） 荣耀8青春版  蓝色 移动全网通(4G  + 64G),茄子手机旗舰店,￥1209.00,6200+条评价
新诺基亚（NOKIA）130 黑色 直板按键 移动联通2G 双卡双待 老人 学生备用功能机,诺基亚手机京东自营旗舰店,￥179.00,2.3万+条评价
OPPO A57 3GB+32GB内存版 全网通4G 玫瑰金色 全网通(3G RAM+32G ROM)标配,OPPO官方直营旗舰店,￥1099.00,1.1万+条评价
诺基亚（NOKIA） 105 移动联通2G 老人 新款-黑色,众盛手机专营店,￥149.00,3.4万+条评价
黑莓（BlackBerry）KEYone 4G全网通 4GB+64GB 黑色 移动联通电信,黑莓手机京东自营官方旗舰店,￥3499.00,1.6万+条评价
中兴（ZTE） 中兴 (ZTE) BA520 移动4G 智能老人 双卡双待 玄武灰 高配版（2GRAM+16GROM）,众盛手机专营店,￥428.00,6100+条评价
中兴健康(ZTE Health) 老人A188 移动联通 老年 黑色 老年男版,维库精品手机专营店,￥169.00,4万+条评价
诺亚信（NOAIN） 3310 老人 直板按键备用 移动联通2G 双卡双待 深蓝色,诺亚信手机旗舰店,￥99.00,3300+条评价
